Country/Region,Cases
Afghanistan,4402
Albania,868
Algeria,5723
Andorra,755
Angola,45
Antigua and Barbuda,25
Argentina,6034
Armenia,3313
Australia,6948
Austria,15871
Azerbaijan,2519
Bahamas,92
Bahrain,4941
Bangladesh,14657
Barbados,84
Belarus,22973
Belgium,53081
Belize,18
Benin,319
Bhutan,7
Bolivia,2556
Bosnia and Herzegovina,2117
Botswana,23
Brazil,162699
Brunei,141
Bulgaria,1965
Burkina Faso,751
Burma,180
Burundi,15
Cabo Verde,246
Cambodia,122
Cameroon,2579
Canada,70091
Central African Republic,143
Chad,322
Chile,28866
China,84010
Colombia,11063
Comoros,11
Congo (Brazzaville),274
Congo (Kinshasa),991
Costa Rica,792
Cote d'Ivoire,1700
Croatia,2187
Cuba,1766
Cyprus,898
Czechia,8123
Denmark,10627
Diamond Princess,712
Djibouti,1210
Dominica,16
Dominican Republic,10347
Ecuador,29559
Egypt,9400
El Salvador,889
Equatorial Guinea,439
Eritrea,39
Estonia,1739
Eswatini,172
Ethiopia,239
Fiji,18
Finland,5962
France,177094
Gabon,661
Gambia,20
Georgia,635
Germany,171879
Ghana,4263
Greece,2716
Grenada,21
Guatemala,1052
Guinea,2146
Guinea-Bissau,726
Guyana,104
Haiti,182
Holy See,12
Honduras,1972
Hungary,3263
Iceland,1801
India,67161
Indonesia,14032
Iran,107603
Iraq,2767
Ireland,22996
Israel,16477
Italy,219070
Jamaica,502
Japan,15777
Jordan,540
Kazakhstan,5090
Kenya,672
Kosovo,870
Kuwait,8688
Kyrgyzstan,1002
Laos,19
Latvia,939
Lebanon,845
Liberia,199
Libya,64
Liechtenstein,82
Lithuania,1479
Luxembourg,3886
MS Zaandam,9
Madagascar,193
Malawi,56
Malaysia,6656
Maldives,835
Mali,704
Malta,496
Mauritania,8
Mauritius,332
Mexico,35022
Moldova,4927
Monaco,96
Mongolia,42
Montenegro,324
Morocco,6063
Mozambique,91
Namibia,16
Nepal,110
Netherlands,42826
New Zealand,1497
Nicaragua,16
Niger,821
Nigeria,4399
North Macedonia,1642
Norway,8105
Oman,3399
Pakistan,30334
Panama,8448
Papua New Guinea,8
Paraguay,713
Peru,67307
Philippines,10794
Poland,15996
Portugal,27581
Qatar,22520
Romania,15362
Russia,209688
Rwanda,284
Saint Kitts and Nevis,15
Saint Lucia,18
Saint Vincent and the Grenadines,17
San Marino,628
Sao Tome and Principe,208
Saudi Arabia,39048
Senegal,1709
Serbia,10032
Seychelles,11
Sierra Leone,307
Singapore,23336
Slovakia,1457
Slovenia,1457
Somalia,1054
South Africa,10015
South Korea,10909
South Sudan,120
Spain,224350
Sri Lanka,863
Sudan,1365
Suriname,10
Sweden,26322
Switzerland,30305
Syria,47
Taiwan*,440
Tajikistan,612
Tanzania,509
Thailand,3009
Timor-Leste,24
Togo,174
Trinidad and Tobago,116
Tunisia,1032
Turkey,138657
US,1329260
Uganda,121
Ukraine,15232
United Arab Emirates,18198
United Kingdom,220449
Uruguay,707
Uzbekistan,2418
Venezuela,414
Vietnam,288
West Bank and Gaza,375
Western Sahara,6
Yemen,51
Zambia,267
Zimbabwe,36
